gp_id,x,y,z,ux,uy,uz,u_mag
1,1813.875,0.0,567.935424805,0.0,0.0,-0.18668741112,0.18668741112
2,1813.875,0.0,541.46629489,0.0,0.0,-0.196708859455,0.196708859455
3,1813.875,0.0,512.349131422,0.0,0.0,-0.19621220956,0.19621220956
4,1813.875,0.0,480.324094637,0.0,0.0,-0.193303359398,0.193303359398
5,1813.875,0.0,445.081566205,0.0,0.0,-0.188965872907,0.188965872907
6,1813.875,0.0,406.290448866,0.0,0.0,-0.183063175786,0.183063175786
7,1813.875,0.0,363.584876686,0.0,0.0,-0.173971072386,0.173971072386
8,1813.875,0.0,316.569837855,0.0,0.0,-0.161745584202,0.161745584202
9,1813.875,0.0,264.810459462,0.0,0.0,-0.146925734795,0.146925734795
10,1813.875,0.0,207.827985052,0.0,0.0,-0.123680101534,0.123680101534
11,1813.875,0.0,145.095346298,0.0,0.0,-0.0927243991915,0.0927243991915
12,1813.875,0.0,76.0322878149,0.0,0.0,-0.0510982833635,0.0510982833635
13,1813.875,0.0,0.0,0.0,0.0,0.0,0.0
14,1813.875,-22.4964783122,521.708902753,0.0,-0.0022078888777,-0.196302964629,0.196315380689
15,1813.875,-24.5333827571,567.216544143,0.0,-0.00374583410195,-0.193388287387,0.193424561449
16,1813.875,-27.6147012693,495.655280054,0.0,-0.00342285067195,-0.195056381924,0.195086411715
17,1813.875,-32.0064016448,462.808313314,0.0,-0.00406484013256,-0.191471418251,0.191514560628
18,1813.875,-34.3921787333,425.104915614,0.0,-0.00419686134227,-0.186195022886,0.186242315795
19,1813.875,-34.7551298724,543.55612833,0.0,-0.00374711352741,-0.196509611813,0.196545334197
20,1813.875,-37.9173876854,383.786872497,0.0,-0.0047391660253,-0.178847278097,0.178910057228
21,1813.875,-41.6156961936,338.503246391,0.0,-0.00433925912326,-0.167945384331,0.168001432398
22,1813.875,-45.4600058453,288.48566434,0.0,-0.00324787274752,-0.154383606299,0.154417766372
23,1813.875,-48.7771956942,233.502478226,0.0,-0.00377668457166,-0.135678771433,0.135731324181
24,1813.875,-49.2199414414,53.0134163221,0.0,-0.00132038670271,-0.0359706801348,0.0359949058952
25,1813.875,-49.3826170868,174.814114771,0.0,-0.00250662890728,-0.108232491282,0.108261513742
26,1813.875,-50.3886863036,516.803086354,0.0,-0.00611166181909,-0.19711316927,0.197207895151
