zone_id,cx,cy,cz,gp1,gp2,gp3,gp4,gp5,gp6,gp7,gp8
1,605.734864475,-497.972941413,343.068663808,22419,9691,20337,20672,,,,
2,1729.97021948,-40.7200357453,160.946898017,18147,17599,1042,17788,,,,
3,414.296940964,-1603.78965571,245.272334226,17127,11594,11379,11254,,,,
4,628.33927869,-1143.90463818,462.595900239,22316,9487,9486,9587,,,,
5,1767.66936795,-985.132340308,53.1120739335,836,330,16049,810,,,,
6,1147.36821137,-282.875408562,588.513481304,21698,5687,5516,5527,,,,
7,829.634793324,-1413.585618,287.440007735,16481,16490,16338,8058,,,,
8,1443.93411026,-1362.66787545,420.341179733,25368,22659,22589,22061,,,,
9,1098.05710408,-372.207904079,499.058464272,5997,21298,5937,21294,,,,
10,1200.9194275,-882.330670809,284.442266055,22233,22221,5225,17754,,,,
11,1391.51311345,-1432.86351184,479.703113959,14923,14898,30621,14982,,,,
12,1792.30188217,-155.595830554,340.99746119,17785,67,50,17786,,,,
13,7.85632768009,-1179.02355489,570.398189399,20704,14695,14689,14686,,,,
14,1540.05019508,-1283.11864554,487.276773985,2282,29681,22058,2325,,,,
15,67.8915900539,-1515.33964005,21.3721080621,30045,14806,13894,13765,,,,
16,1062.75881599,-875.726025668,53.7774882995,17361,6597,6151,17553,,,,
17,722.011470417,-1201.47914107,337.011139749,18100,8817,9041,29822,,,,
18,208.855940952,-631.981757458,527.997645194,22532,13147,21591,21588,,,,
19,609.446254662,-566.638669432,239.045333466,20107,19884,9640,19896,,,,
20,1226.45146879,-1072.23726689,86.7233441503,16989,4836,4975,5201,,,,
21,587.88765861,-728.716748994,109.326203468,18897,10040,9700,9958,,,,
22,1607.30703744,-855.393927229,451.901758504,16881,1728,1712,1727,,,,
23,828.678312966,-110.15802051,570.477801037,22486,7984,8232,8147,,,,
24,1313.40097066,-84.4646564341,581.520577015,4299,29827,4455,4298,,,,
25,238.977260752,-1112.98533306,81.3495214925,29528,13168,13019,12626,,,,
